hidden_layers,activation,learning_rate,batch_size,final_train_loss,final_test_loss
[8],Sigmoid,0.001,64,2.7046244939168296,2.2855019569396973
[8],Sigmoid,0.001,128,2.484038293361664,2.595949172973633
[8],Sigmoid,0.0001,16,2.4532080358929105,1.9267382621765137
[8],Sigmoid,0.0001,32,3.645019197463989,2.796915888786316
[8],Sigmoid,0.0001,64,5.944151401519775,5.383234024047852
[8],Sigmoid,0.0001,128,6.675315856933594,5.997539043426514
[8],Tanh,1.0,16,0.14542605272597736,0.10656717419624329
[8],Tanh,1.0,32,0.16261521950364113,0.05354760924819857
[8],Tanh,1.0,64,0.5218228399753571,0.4160782992839813
[8],Tanh,1.0,128,0.8436584770679474,0.687834620475769
[8],Tanh,0.1,16,0.018813524291747145,0.009970352674523989
[8],Tanh,0.1,32,0.04212038442492485,0.03346527833491564
[8],Tanh,0.1,64,0.08537291238705318,0.08875033259391785
[8],Tanh,0.1,128,0.23492660373449326,0.23785400390625
[8],Tanh,0.01,16,0.060451779100630015,0.05779512661198775
[8],Tanh,0.01,32,0.11522570699453354,0.05651427060365677
[8],Tanh,0.01,64,0.7372496724128723,0.5568095445632935
[8],Tanh,0.01,128,2.5050987005233765,2.175503730773926
[8],Tanh,0.001,16,2.8407835563023887,2.3672660191853843
[8],Tanh,0.001,32,2.966238260269165,2.4972879886627197
[8],Tanh,0.001,64,3.8294968605041504,2.9763591289520264
[8],Tanh,0.001,128,3.1049429178237915,2.875887155532837
[8],Tanh,0.0001,16,5.516188356611464,4.545863389968872
[8],Tanh,0.0001,32,5.080428600311279,4.233139991760254
[8],Tanh,0.0001,64,5.61710246404012,4.957382678985596
[8],Tanh,0.0001,128,3.513102650642395,3.002042770385742
"[16, 16]",ReLU,1.0,16,0.6762109067704942,0.6515932381153107
"[16, 16]",ReLU,1.0,32,8.428639316558838,5.5827672481536865
"[16, 16]",ReLU,1.0,64,27.184473037719727,24.975772857666016
"[16, 16]",ReLU,1.0,128,29.548779487609863,29.01025390625
"[16, 16]",ReLU,0.1,16,0.038381253679593406,0.03745582792907953
"[16, 16]",ReLU,0.1,32,0.07835806831717491,0.04629889875650406
"[16, 16]",ReLU,0.1,64,0.10954391956329346,0.09342052042484283
"[16, 16]",ReLU,0.1,128,0.2114141881465912,0.13410724699497223
"[16, 16]",ReLU,0.01,16,0.03206429216596815,0.04785725101828575
"[16, 16]",ReLU,0.01,32,0.04983968362212181,0.09702498093247414
"[16, 16]",ReLU,0.01,64,0.1870753268400828,0.13406170904636383
"[16, 16]",ReLU,0.01,128,0.6425843238830566,0.7655715346336365
"[16, 16]",ReLU,0.001,16,0.6402193771468269,0.4050351182619731
"[16, 16]",ReLU,0.001,32,3.3017219066619874,2.4544151425361633
"[16, 16]",ReLU,0.001,64,5.159693559010823,4.354504585266113
"[16, 16]",ReLU,0.001,128,3.7195236682891846,3.3604440689086914
"[16, 16]",ReLU,0.0001,16,3.8112952444288464,3.1546955903371177
"[16, 16]",ReLU,0.0001,32,4.36766676902771,3.4866700172424316
"[16, 16]",ReLU,0.0001,64,3.490540107091268,3.0943028926849365
"[16, 16]",ReLU,0.0001,128,3.062543749809265,2.896772861480713
"[16, 16]",Sigmoid,1.0,16,0.6414910223748949,0.6534227331479391
"[16, 16]",Sigmoid,1.0,32,0.7274232983589173,0.684276282787323
"[16, 16]",Sigmoid,1.0,64,1.5117098093032837,0.9068766832351685
"[16, 16]",Sigmoid,1.0,128,5.472778677940369,1.8256053924560547
"[16, 16]",Sigmoid,0.1,16,0.021333892105354205,0.017661319735149544
"[16, 16]",Sigmoid,0.1,32,0.07973610237240791,0.023676251526921988
"[16, 16]",Sigmoid,0.1,64,0.1482051561276118,0.1348189413547516
"[16, 16]",Sigmoid,0.1,128,0.28170323371887207,0.17667463421821594
"[16, 16]",Sigmoid,0.01,16,0.1391021634141604,0.11188292503356934
"[16, 16]",Sigmoid,0.01,32,0.19968817830085756,0.16963986307382584
"[16, 16]",Sigmoid,0.01,64,0.32467331488927204,0.2969170808792114
"[16, 16]",Sigmoid,0.01,128,0.6280511319637299,0.45041677355766296
"[16, 16]",Sigmoid,0.001,16,1.075966199239095,0.8036350210507711
"[16, 16]",Sigmoid,0.001,32,2.4523385047912596,1.8106102347373962
"[16, 16]",Sigmoid,0.001,64,3.936168591181437,3.669736623764038
"[16, 16]",Sigmoid,0.001,128,2.3114383220672607,1.9598513841629028
"[16, 16]",Sigmoid,0.0001,16,6.812158902486165,5.789784590403239
"[16, 16]",Sigmoid,0.0001,32,3.014646053314209,2.361780285835266
"[16, 16]",Sigmoid,0.0001,64,4.743651231129964,3.9085049629211426
"[16, 16]",Sigmoid,0.0001,128,2.3358553647994995,2.116621732711792
"[16, 16]",Tanh,1.0,16,0.13622002965874142,0.07420557178556919
"[16, 16]",Tanh,1.0,32,1.6362953066825867,0.8057571277022362
"[16, 16]",Tanh,1.0,64,4.814172983169556,3.2452774047851562
"[16, 16]",Tanh,1.0,128,16.07145118713379,4.224658012390137
"[16, 16]",Tanh,0.1,16,0.009566684305253956,0.0034905648014197745
"[16, 16]",Tanh,0.1,32,0.0226193992421031,0.012446257285773754
"[16, 16]",Tanh,0.1,64,0.0314087625592947,0.04767511039972305
"[16, 16]",Tanh,0.1,128,0.06125273369252682,0.03568065166473389
"[16, 16]",Tanh,0.01,16,0.03925766682045327,0.031205644831061363
"[16, 16]",Tanh,0.01,32,0.09235384911298752,0.07414299249649048
"[16, 16]",Tanh,0.01,64,0.10308698564767838,0.12466292828321457
"[16, 16]",Tanh,0.01,128,0.24602726101875305,0.16201260685920715
"[16, 16]",Tanh,0.001,16,0.7513237396876017,0.4869031012058258
"[16, 16]",Tanh,0.001,32,2.653975248336792,1.8775098323822021
"[16, 16]",Tanh,0.001,64,3.424387296040853,3.207334041595459
"[16, 16]",Tanh,0.001,128,3.897085189819336,3.54206919670105
"[16, 16]",Tanh,0.0001,16,3.4142082267337375,2.7110023498535156
"[16, 16]",Tanh,0.0001,32,3.899759578704834,2.884014844894409
"[16, 16]",Tanh,0.0001,64,3.9512824217478433,3.3887922763824463
"[16, 16]",Tanh,0.0001,128,4.597735643386841,4.235882759094238
"[32, 32]",ReLU,1.0,16,15.946274439493815,12.819090525309244
"[32, 32]",ReLU,1.0,32,32.46059608459473,28.688554763793945
"[32, 32]",ReLU,1.0,64,34.872931162516274,33.71900939941406
"[32, 32]",ReLU,1.0,128,33.85027503967285,32.64762496948242
"[32, 32]",ReLU,0.1,16,0.25669101708465153,0.22354351977507272
"[32, 32]",ReLU,0.1,32,0.06710106283426284,0.06543036550283432
"[32, 32]",ReLU,0.1,64,0.14917219678560892,0.12332681566476822
"[32, 32]",ReLU,0.1,128,0.11818436160683632,0.10748420655727386
"[32, 32]",ReLU,0.01,16,0.03708478497962157,0.07788492366671562
"[32, 32]",ReLU,0.01,32,0.06585809215903282,0.09246356785297394
"[32, 32]",ReLU,0.01,64,0.08131894220908482,0.07673749327659607
"[32, 32]",ReLU,0.01,128,0.33210553228855133,0.23547843098640442
"[32, 32]",ReLU,0.001,16,0.19309248444106844,0.07691185424725215
"[32, 32]",ReLU,0.001,32,1.6686993837356567,1.1057543754577637
"[32, 32]",ReLU,0.001,64,4.130613565444946,3.3624603748321533
"[32, 32]",ReLU,0.001,128,3.5222004652023315,2.994145393371582
"[32, 32]",ReLU,0.0001,16,4.280897484885322,3.547571341196696
"[32, 32]",ReLU,0.0001,32,5.135067939758301,4.132044076919556
"[32, 32]",ReLU,0.0001,64,3.7545555432637534,3.3256046772003174
"[32, 32]",ReLU,0.0001,128,3.863115906715393,3.223311185836792
"[32, 32]",Sigmoid,1.0,16,0.8435075481732687,0.6548402905464172
"[32, 32]",Sigmoid,1.0,32,1.5631077766418457,0.771112710237503
"[32, 32]",Sigmoid,1.0,64,1.5304198463757832,2.871427297592163
"[32, 32]",Sigmoid,1.0,128,2.662234276533127,14.510003089904785
"[32, 32]",Sigmoid,0.1,16,0.007517127009729545,0.0024024175363592803
"[32, 32]",Sigmoid,0.1,32,0.04223017208278179,0.026223201188258827
"[32, 32]",Sigmoid,0.1,64,0.10725103070338567,0.13082009553909302
"[32, 32]",Sigmoid,0.1,128,0.30112000554800034,0.19887393712997437
"[32, 32]",Sigmoid,0.01,16,0.09895378516780005,0.0738793717076381
"[32, 32]",Sigmoid,0.01,32,0.14554770439863204,0.1143432967364788
"[32, 32]",Sigmoid,0.01,64,0.2970273395379384,0.2825506031513214
"[32, 32]",Sigmoid,0.01,128,0.31806640326976776,0.33071982860565186
"[32, 32]",Sigmoid,0.001,16,0.6005000505182478,0.4898197551568349
"[32, 32]",Sigmoid,0.001,32,0.8823194622993469,0.664948582649231
"[32, 32]",Sigmoid,0.001,64,1.8079539934794109,1.333596110343933
"[32, 32]",Sigmoid,0.001,128,3.533084750175476,2.936908721923828
"[32, 32]",Sigmoid,0.0001,16,2.879994591077169,2.2808725436528525
"[32, 32]",Sigmoid,0.0001,32,2.804391384124756,2.064668595790863
"[32, 32]",Sigmoid,0.0001,64,3.2361181577046714,2.893108367919922
"[32, 32]",Sigmoid,0.0001,128,3.6301345825195312,2.8630776405334473
"[32, 32]",Tanh,1.0,16,0.3699081589778264,0.11002980979780357
"[32, 32]",Tanh,1.0,32,1.6698878169059754,0.7058028429746628
"[32, 32]",Tanh,1.0,64,8.729720910390219,9.610359191894531
"[32, 32]",Tanh,1.0,128,12.66227924823761,8.831106185913086
"[32, 32]",Tanh,0.1,16,0.014725048327818513,0.008274323927859465
"[32, 32]",Tanh,0.1,32,0.037471677921712396,0.03286540135741234
"[32, 32]",Tanh,0.1,64,0.20917331675688425,0.17474788427352905
"[32, 32]",Tanh,0.1,128,0.35446391999721527,0.21987934410572052
"[32, 32]",Tanh,0.01,16,0.04116945848282841,0.03593230557938417
"[32, 32]",Tanh,0.01,32,0.060801701992750166,0.07210120186209679
"[32, 32]",Tanh,0.01,64,0.16592465341091156,0.10677710920572281
"[32, 32]",Tanh,0.01,128,0.1199164092540741,0.16857238113880157
"[32, 32]",Tanh,0.001,16,0.3566049751308229,0.11689481139183044
"[32, 32]",Tanh,0.001,32,1.3583813667297364,0.95440274477005
"[32, 32]",Tanh,0.001,64,2.31231156984965,2.019686698913574
"[32, 32]",Tanh,0.001,128,2.957840085029602,2.762589454650879
"[32, 32]",Tanh,0.0001,16,4.019653108384874,3.274214188257853
"[32, 32]",Tanh,0.0001,32,3.7124996185302734,2.912303924560547
"[32, 32]",Tanh,0.0001,64,4.066325585047404,4.025893688201904
"[32, 32]",Tanh,0.0001,128,5.2981812953948975,4.795904159545898
"[64, 64]",ReLU,1.0,16,36.7651244269477,33.50987243652344
"[64, 64]",ReLU,1.0,32,34.6755859375,31.79452419281006
"[64, 64]",ReLU,1.0,64,41.19039789835612,39.39201354980469
"[64, 64]",ReLU,1.0,128,32.247891426086426,31.41062355041504
"[64, 64]",ReLU,0.1,16,0.6005670097139146,0.6908133029937744
"[64, 64]",ReLU,0.1,32,0.12413220256567001,0.0839553140103817
"[64, 64]",ReLU,0.1,64,1.6609089771906536,1.2816370725631714
"[64, 64]",ReLU,0.1,128,2.6889995336532593,2.370307207107544
"[64, 64]",ReLU,0.01,16,0.02619138401415613,0.0691421888768673
"[64, 64]",ReLU,0.01,32,0.038761090487241745,0.06838959455490112
"[64, 64]",ReLU,0.01,64,0.09133096287647884,0.14069446921348572
"[64, 64]",ReLU,0.01,128,0.2103840708732605,0.19852760434150696
"[64, 64]",ReLU,0.001,16,0.10610537996722592,0.10356893266240756
"[64, 64]",ReLU,0.001,32,0.22896632850170134,0.1367127150297165
"[64, 64]",ReLU,0.001,64,0.451127032438914,0.3152707815170288
"[64, 64]",ReLU,0.001,128,0.9919662475585938,0.8756914138793945
"[64, 64]",ReLU,0.0001,16,2.7972948286268444,2.3212722539901733
"[64, 64]",ReLU,0.0001,32,4.071658134460449,3.092005491256714
"[64, 64]",ReLU,0.0001,64,4.43385108311971,3.8103299140930176
"[64, 64]",ReLU,0.0001,128,3.56601881980896,3.616748332977295
"[64, 64]",Sigmoid,1.0,16,0.6722914013597701,0.9541908899943033
"[64, 64]",Sigmoid,1.0,32,4.052903437614441,3.254590392112732
"[64, 64]",Sigmoid,1.0,64,21.260942300160725,0.888260543346405
"[64, 64]",Sigmoid,1.0,128,5.1795958280563354,30.00607681274414
"[64, 64]",Sigmoid,0.1,16,0.024678708869032562,0.01514293437746043
"[64, 64]",Sigmoid,0.1,32,0.0773259811103344,0.04048967733979225
"[64, 64]",Sigmoid,0.1,64,0.2537213737765948,0.1240503266453743
"[64, 64]",Sigmoid,0.1,128,0.5340691953897476,0.3412123918533325
"[64, 64]",Sigmoid,0.01,16,0.07254840847518709,0.054387045403321586
"[64, 64]",Sigmoid,0.01,32,0.1208337515592575,0.08385126292705536
"[64, 64]",Sigmoid,0.01,64,0.21076937019824982,0.24172115325927734
"[64, 64]",Sigmoid,0.01,128,0.38811901211738586,0.3587473928928375
"[64, 64]",Sigmoid,0.001,16,0.36880843506919014,0.40589505930741626
"[64, 64]",Sigmoid,0.001,32,0.492216694355011,0.6531191766262054
"[64, 64]",Sigmoid,0.001,64,1.683547814687093,1.3176543712615967
"[64, 64]",Sigmoid,0.001,128,0.9480310380458832,0.6738883256912231
"[64, 64]",Sigmoid,0.0001,16,4.959215588039822,4.067159175872803
"[64, 64]",Sigmoid,0.0001,32,2.9270487308502195,2.2634002566337585
"[64, 64]",Sigmoid,0.0001,64,3.185779094696045,2.6123270988464355
"[64, 64]",Sigmoid,0.0001,128,3.469035029411316,3.232822895050049
"[64, 64]",Tanh,1.0,16,1.683670527405209,1.2127605477968852
"[64, 64]",Tanh,1.0,32,4.254991555213929,2.5759312510490417
"[64, 64]",Tanh,1.0,64,12.889115333557129,20.033010482788086
"[64, 64]",Tanh,1.0,128,37.21586799621582,65.9159164428711
"[64, 64]",Tanh,0.1,16,0.15304243605997828,0.10479334493478139
"[64, 64]",Tanh,0.1,32,0.6518668711185456,0.35356488823890686
"[64, 64]",Tanh,0.1,64,0.4474719166755676,0.28621914982795715
"[64, 64]",Tanh,0.1,128,0.5970075130462646,0.39991411566734314
"[64, 64]",Tanh,0.01,16,0.05424768291413784,0.04369699954986572
"[64, 64]",Tanh,0.01,32,0.059260395169258115,0.0641210749745369
"[64, 64]",Tanh,0.01,64,0.16615874568621317,0.1387784630060196
"[64, 64]",Tanh,0.01,128,0.25686877220869064,0.16272477805614471
"[64, 64]",Tanh,0.001,16,0.074637773550219,0.08104742442568143
"[64, 64]",Tanh,0.001,32,0.2038893774151802,0.08882434293627739
"[64, 64]",Tanh,0.001,64,1.176917592684428,0.8059670925140381
"[64, 64]",Tanh,0.001,128,2.135277271270752,1.810524582862854
"[64, 64]",Tanh,0.0001,16,3.2667889330122204,2.549493948618571
"[64, 64]",Tanh,0.0001,32,3.736883211135864,2.9891858100891113
"[64, 64]",Tanh,0.0001,64,4.131122509638469,3.521803855895996
"[64, 64]",Tanh,0.0001,128,3.8899707794189453,3.5341899394989014
